"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"1",21,6,160,110,3.9,2.62,16.46,0,1,4,4
"2",21,6,160,110,3.9,2.875,17.02,0,1,4,4
"3",22.8,4,108,93,3.85,2.32,18.61,1,1,4,1
"4",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2
"5",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
"6",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
"7",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
"8",32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
"9",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
"10",33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
"11",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
"12",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
"13",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
"14",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
"15",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6
"16",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2
